honeylocust,northernredoak,blackwalnut,pecan,loblollypine,chinesechestnut,blacklocust,all,step,set
24944,3535,3845,3875,3106,4071,3587,24944,filtered,all
22531,3236,3327,3754,3059,2905,3325,22531,filtered,bing
171,42,23,42,47,17,0,171,filtered,arborday
2242,257,495,79,0,1149,262,2242,filtered,harvard
32832,4632,5208,4888,3960,5296,4840,32832,augmented,all
29624,4248,4504,4728,3904,3736,4496,29624,augmented,bing
216,56,32,48,56,24,0,216,augmented,arborday
2992,328,672,112,0,1536,344,2992,augmented,harvard
7707,579,651,611,495,662,605,7707,original,all
6905,531,563,591,488,467,562,6905,original,bing
54,7,4,6,7,3,0,54,original,arborday
748,41,84,14,0,192,43,748,original,harvard
